window,metric,n_pairs,human_median,ai_median,mean_paired_difference,median_paired_difference,source_cluster_ci_low,source_cluster_ci_high,probability_ai_greater,wilcoxon_p
4,mean_nll,312,1.1454324395310347,0.7261674119640272,-0.396430878169448,-0.3711431439506248,-0.4823022644620601,-0.304357955051878,0.14102564102564102,1.1209582562914749e-39
4,p95_nll,312,6.3296425,4.261986750000002,-1.809889955929487,-1.5361109999999978,-2.1632600371423303,-1.3742883036832947,0.13141025641025642,2.313890074163652e-40
4,mean_boundary_delta_nll,169,0.21684559134980938,0.022629381736664417,-0.34397613767859686,-0.15877081384208103,-0.5139119082595904,-0.13169850735343872,0.41420118343195267,0.0057444499637133665
4,mean_boundary_excess_nll,169,0.2686378406076234,0.036537336467079386,-0.3595628680455824,-0.18463512671234275,-0.5417677034818599,-0.1299763750638287,0.42011834319526625,0.004287324983652804
4,mean_content_boundary_delta_nll,169,0.21882548270416669,0.017092778408846616,-0.3042649836833432,-0.172073619536172,-0.5708592079356564,-0.12115302542091864,0.4319526627218935,0.03022897311448259
4,mean_content_boundary_excess_nll,169,0.2704694679880159,0.03942770970912335,-0.31985171405032886,-0.14585399408984245,-0.5924399272221212,-0.13522575167212317,0.40828402366863903,0.024134292565245227
8,mean_nll,312,1.1454324395310347,0.7261674119640272,-0.396430878169448,-0.3711431439506248,-0.4823022644620601,-0.304357955051878,0.14102564102564102,1.1209582562914749e-39
8,p95_nll,312,6.3296425,4.261986750000002,-1.809889955929487,-1.5361109999999978,-2.1632600371423303,-1.3742883036832947,0.13141025641025642,2.313890074163652e-40
8,mean_boundary_delta_nll,169,0.2613582913565458,-0.005714205049291665,-0.4017267682592226,-0.22578850022208327,-0.5377692950321246,-0.2673145893525258,0.3609467455621302,4.3420117131938833e-05
8,mean_boundary_excess_nll,169,0.33364684860235005,0.02036473642141237,-0.40733695787642143,-0.2348238955132539,-0.5566867715738517,-0.275673058464118,0.3668639053254438,6.978136329048139e-05
8,mean_content_boundary_delta_nll,169,0.13956211069374996,0.019717241666927645,-0.21460332998618614,-0.16112596596816653,-0.3782059442642468,-0.1260025568822256,0.40828402366863903,0.01987156282735359
8,mean_content_boundary_excess_nll,169,0.17508008311938772,0.03554998991479542,-0.2202135196033851,-0.13224252886257915,-0.4005250305217941,-0.13047719419863202,0.4260355029585799,0.027361492919361297
16,mean_nll,312,1.1454324395310347,0.7261674119640272,-0.396430878169448,-0.3711431439506248,-0.4823022644620601,-0.304357955051878,0.14102564102564102,1.1209582562914749e-39
16,p95_nll,312,6.3296425,4.261986750000002,-1.809889955929487,-1.5361109999999978,-2.1632600371423303,-1.3742883036832947,0.13141025641025642,2.313890074163652e-40
16,mean_boundary_delta_nll,169,0.047791650197133634,-0.03333435724504772,-0.13354664744041972,-0.04592518746572696,-0.1952343905896431,-0.0957209569952878,0.40236686390532544,0.015595724316746433
16,mean_boundary_excess_nll,168,0.04952770937393328,-0.01288207659180979,-0.12429641102204825,-0.08066533026926401,-0.228434937538021,-0.05542000857787778,0.39880952380952384,0.02084813587807593
16,mean_content_boundary_delta_nll,169,-0.03486303884560065,-0.04882084149719166,-0.024016628009144246,-0.02534744294326123,-0.15516238082028336,0.056445097598643454,0.4911242603550296,0.8071531232504412
16,mean_content_boundary_excess_nll,168,-0.011109385947220364,-0.03585965382428005,-0.014506339627044904,-0.016153469602221138,-0.19151851972505318,0.08791668635258598,0.4880952380952381,0.7514299581039696
32,mean_nll,312,1.1454324395310347,0.7261674119640272,-0.396430878169448,-0.3711431439506248,-0.4823022644620601,-0.304357955051878,0.14102564102564102,1.1209582562914749e-39
32,p95_nll,312,6.3296425,4.261986750000002,-1.809889955929487,-1.5361109999999978,-2.1632600371423303,-1.3742883036832947,0.13141025641025642,2.313890074163652e-40
32,mean_boundary_delta_nll,163,-0.08858390758437495,-0.09373161654374995,-0.04139959907422309,0.001987460246543756,-0.13955344456335292,0.01733892509062708,0.5030674846625767,0.4927208341962902
32,mean_boundary_excess_nll,139,-0.07922164763160447,-0.06910104179768742,0.015570101661679733,1.1066535264961375e-05,-0.1365869167441771,0.12628504427662968,0.5035971223021583,0.8008109406885755
32,mean_content_boundary_delta_nll,163,-0.11842287798895808,-0.11267320140508652,-0.003525070596441443,0.00647784910184504,-0.1143936636319117,0.0795852233334613,0.5153374233128835,0.7934740295274727
32,mean_content_boundary_excess_nll,139,-0.0984663101320542,-0.07568483802562792,0.055869008538050005,0.01632420003039206,-0.10017454531817913,0.17686433688999229,0.5179856115107914,0.6818178201170495
