source,n_pairs,delta_named_haves,delta_used_constants,delta_tokens,human_explicit_uses_per_claim,human_zero_uptake_share,human_long_horizon_share,human_adoption_probability,human_last_use_token_distance_given_adoption,human_fraction_available_boundaries_crossed_given_adoption,human_parametric_claim_share,human_generalized_claim_share,ai_explicit_uses_per_claim,ai_zero_uptake_share,ai_long_horizon_share,ai_adoption_probability,ai_last_use_token_distance_given_adoption,ai_fraction_available_boundaries_crossed_given_adoption,ai_parametric_claim_share,ai_generalized_claim_share
amc_aime,362,0.0,-19.0,0.0,1.6871455576559546,0.14555765595463138,0.498109640831758,0.8544423440453687,53.97898230088496,0.5212791191255912,0.08601134215500945,0.10869565217391304,0.9253321117727897,0.293632615666514,0.48511223087494276,0.706367384333486,29.19520103761349,0.4608587024786073,0.005955107650022904,0.014658726523133303
aops_forum,162,0.5,0.0,29.5,1.4767080745341614,0.34627329192546585,0.4394409937888199,0.6537267080745341,56.066508313539195,0.5316856606760993,0.020186335403726708,0.031055900621118012,0.7764830508474576,0.4629237288135593,0.3305084745762712,0.5370762711864406,22.650887573964496,0.48272801327183523,0.001059322033898305,0.01694915254237288
cn_contest,137,1.0,0.0,17.0,1.1583054626532887,0.2318840579710145,0.5050167224080268,0.7681159420289855,28.526850507982584,0.47707335065694073,0.005574136008918618,0.021181716833890748,0.8076379066478077,0.3910891089108911,0.4186704384724187,0.6089108910891089,26.872241579558654,0.4354900223752978,0.0007072135785007072,0.009900990099009901
cn_k12,283,2.0,-20.0,23.0,1.332642487046632,0.09119170984455958,0.5585492227979275,0.9088082901554404,29.07981755986317,0.4838431441513965,0.03730569948186528,0.07150259067357513,0.8034627983153955,0.35423490875058494,0.399157697707066,0.6457650912494151,23.36449275362319,0.42936119102044196,0.0014038371548900327,0.020589611605053813
inequalities,40,0.0,0.0,13.5,0.9956331877729258,0.32751091703056767,0.45414847161572053,0.6724890829694323,37.55194805194805,0.5129879779822729,0.017467248908296942,0.03056768558951965,0.5671140939597316,0.5536912751677853,0.28187919463087246,0.4463087248322148,35.097744360902254,0.493861997293898,0.0,0.006711409395973154
math_test,491,0.0,-10.0,1.0,1.5949625595643295,0.1123213070115725,0.5459496255956433,0.8876786929884275,36.08819018404908,0.5087307355478222,0.02518720217835262,0.0381211708645337,0.9045014724442575,0.30037862852334873,0.45982330668910393,0.6996213714766513,20.979555021046302,0.48122447903911036,0.0016827934371055953,0.00715187210769878
math_train,612,0.0,0.0,2.5,1.5297504798464492,0.13147792706333974,0.5143953934740882,0.8685220729366603,28.468508287292817,0.5412333922425137,0.03742802303262956,0.08061420345489444,0.8980034722222222,0.2986111111111111,0.4557291666666667,0.7013888888888888,19.81868811881188,0.5154756159313498,0.0026041666666666665,0.014756944444444444
number_theory,162,0.0,0.0,2.0,1.464968152866242,0.10191082802547771,0.4840764331210191,0.8980891719745223,43.46808510638298,0.7693463527733192,0.01910828025477707,0.06369426751592357,0.8888888888888888,0.337037037037037,0.42592592592592593,0.662962962962963,18.011173184357542,0.5500060897236916,0.001851851851851852,0.03333333333333333
olympiads,909,1.0,-6.0,18.0,1.3358304403435044,0.2634752420975699,0.47579024301114564,0.7365247579024301,36.982386504589435,0.4710928929212373,0.02101224191485474,0.04458249588890919,0.86990786990787,0.3916083916083916,0.41092241092241094,0.6083916083916084,28.738733807699326,0.4485017451099602,0.001554001554001554,0.020535020535020536
olympiads_ref,367,0.0,-43.0,0.0,1.665866826634673,0.20695860827834434,0.47990401919616077,0.7930413917216557,38.82299546142209,0.49553198111945307,0.03239352129574085,0.07018596280743851,0.9005503144654088,0.35691823899371067,0.41312893081761004,0.6430817610062893,23.649144254278728,0.4331342263969171,0.003537735849056604,0.019654088050314465
secondary_math,93,1.0,-3.0,29.0,1.2603351955307263,0.2916201117318436,0.49385474860335193,0.7083798882681565,38.19085173501577,0.5035720752073323,0.0033519553072625698,0.021229050279329607,0.8609625668449198,0.34988540870893814,0.452253628724217,0.6501145912910619,33.96122209165687,0.45860729920172705,0.0,0.007639419404125287
unknown,12,2.0,-12.0,21.5,1.5217391304347827,0.21739130434782608,0.5217391304347826,0.782608695652174,19.666666666666668,0.75,0.043478260869565216,0.043478260869565216,0.6764705882352942,0.39705882352941174,0.39705882352941174,0.6029411764705882,13.878048780487806,0.5911725479907297,0.0,0.0
